50 dặm	fifty-mile
bị cướp	(to be) robbed
bị đá ra	(to be) bucked, kicked out
bị đâm sầm	(to be) crashed
bị dẫn	(to be) led
bị đánh	(to be) beaten, struck
bị đánh dấu	(to be) marked
bị đánh giá thấp	(to be) undervalued
bị đánh sáp	(to be) waxed
bị đánh thức	(to be) roused
bí đao	(to be) zucchini
bị đập	(to be) pounded, clubbed
bị đập nát	(to be) smashed
bị đặt	(to be) placed
bị đau đớn	(to be) lacerated, in pain
bị đau khố	(to be) suffered
bị đẩy	(to be) propelled, pushed
bị đầy chiến sẹo	(to be) battle-scarred
bị đầy thương tích	(to be) wound-stiffened
bị đe dọa	(to be) threatened
bị di dời	(to be) displaced
bị đi khập khiễng	(to be) limped
bị đi theo	(to be) followed
bị điên rồ	(to be) crazed
bí đỏ	(to be) pumpkin
bị đố	(to be) shed, pour
bị đối mặt	(to be) faced
bị đối xử	(to be) treated
bị đốm	(to be) flecked
bị đóng	(to be) closed, shut
bị động	passive
bị đóng dấu	(to be) stamped
bị đóng gói	(to be) packed
bị đông lạnh	(to be) frozen
bị đóng yên	(to be) harnessed
bị đớp	(to be) snapped, bitten
bị đua	(to be) raced
bị đưa ra	(to be) launched
bị đụng	(to be) crashed
bị ép	(to be) pressed, pressure to
bị gắn chặt	(to be) fastened
bị gặp phải	(to be) encountered
bị gấp rút	(to be) hurried
bị gây ra	(to be) caused
bị gãy răng rắc	(to be) snapped
bị ghét	(to be) hated
bị ghi điểm số	(to be) scored
bị giậm chân	(to be) stamped
bị giẫm xéo	(to be) trampled
bị giảm xuống	(to be) plunged
bị gián đoạn	(to be) disrupted
bị giật	(to be) jerked
bị giấu	(to be) hid
bị giết	(to be) killed
bị giới hạn	(to be) confined
bị giữ	(to be) held, kept
bị gõ	(to be) knocked
bị gọi	(to be) called
bị gọi là	(to be) called
bị gửi	(to be) sent
bị hạ xuống	(to be) lowered
bị hết hơi	(to be) winded
bị hỏi	(to be) asked
bị hỏng	(to be) broken, not working
bị hy sinh	(to be) sacrificed
bị kéo	(to be) dragged, pulled, towed
bị kéo dài	(to be) stretched
bị kéo lên	(to be) hoisted
bị kéo lết phết	(to be) draggled
bị kết thúc	(to be) finished
bị khảo sát	(to be) surveyed
bị khó chịu	(to be) annoyed
bị không ai để ý đến	(to be) unheeded
bị khuấy	(to be) stirred
bi kịch 	(to be) tragedy, sad drama
bi kịch lịch sử	(to be) historic drama
bị kích thích	(to be) aroused
bị kiểm tra	(to be) checked, examined
bị kiệt sức	(to be) exhausted
bị lắc	(to be) shaken
bị làm nát	(to be) crunched
bị làm ngạt thở	(to be) smothered
bị làm tê liệt	(to be) crippled
bị làm việc	(to be) worked
bị làm việc vất vả	(to be) toiled
bị lao vào	(to be) rushed in
bị lao xuống	(to be) plunged
bị lặp đi lặp lại	(to be) repeated
bị lật đố	(to be) overthrown
bị lật úp	(to be) capsized
bị lấy	(to be) taken
bị lấy lại	(to be) regained
bị leo lên	(to be) climbed
bị lo lắng	(to be) rattled
bị loại bỏ	(to be) discarded
bị loạng choạng	(to be) staggered
bị lôi	(to be) hauled
bị lừa	(to be) fooled
bị ma ám	(to be) possessed
bí mật	(to be) secret, confidential
bị mở ra	(to be) opened
bị mô tả	(to be) described
bị nài xin	(to be) pleaded
bị nắm chặt	(to be) gripped
bị nản lòng	(to be) daunted
bị nâng lên	(to be) raised
bị ném	(to be) hurled, thrown
bị nện	(to be) pounded
bị ngạc nhiên	(to be) surprised
bị ngập lụt	(to be) deluged
bị nghẹn thở	(to be) choked
bị nghiêng	(to be) slanted, inclined
bị ngừng	(to be) ceased
bị nguyền rủa	(to be) cursed
bị nhận ra	(to be) realized, identified
bị nhìn	(to be) looked
bị nửa choáng váng	(to be) half-stunned
bị nuốt chửng	(to be) devoured
bị nuốt ực	(to be) gulped
bị nứt	(to be) cracked
bị ở tình trạng	(to be) fared
bị oằn	(to be) buckled
bị oằn xuống	(to be) sagged
bị ốm	(to be) ill
bị phá hủy	(to be) destroyed
bị phá vỡ	(to be) broken
bị phản bội	(to be) betrayed
bị phản đối	(to be) countered
bị phân phối	(to be) distributed
bị phát hiện	(to be) discovered
bị phớt lờ	(to be) ignored
bị phủ	(to be) covered
bị phủ lên	(to be) draped
bị phủ tráng	(to be) coated
bị phun	(to be) sprayed
bi quan	pessimistic
bị quản lý	(to be) managed
bị quằn quại	(to be) squirmed
bị quan sát	(to be) observed
bị quan tâm	(to be) cared, concerned
bị quạt	(to be) fanned
bị quay	(to be) turned
bị quay lên	(to be) reeled
bị quên	(to be) forgotten
bị quét	(to be) swept
bị quì	(to be) squatted
bị ra dấu hiệu	(to be) signaled
bị ra lệnh	(to be) commanded, ordered
bị rạch	(to be) slashed
bị rối	(to be) tangled
bị rơi	(to be) crashed, fallen
bị run lên	(to be) quivered
bị run rẩy	(to be) trembled
bị rùng mình	(to be) shivered
bị rút ra	(to be) pulled out
bị sai lầm	(to be) blundered
bị siết chặt	(to be) clasped
bị sợ	(to be) feared
bị sợ hãi	(to be) terrified
bị so sánh	(to be) compared
bị sủa	(to be) barked
bị sưng lên	(to be) swollen
bị tả tơi	(to be) ragged
bị tách rời	(to be) seperated
bị tan băng	(to be) thawed
bị tấn công	(to be) charged, attacked
bị tăng	(to be) increased
bị tăng gấp đôi	(to be) doubled
bị táp	(to be) snapped
bị té	(to be) fell
bị té nhào	(to be) tumbled
bị thách thức	(to be) defied
bị tháo ra	(to be) unfastened
bị thất bại	(to be) failed
bị thắt chặt	(to be) tightened
bị thấy	(to be) seen
bị thay đối	(to be) changed
bị thay thế	(to be) replaced
bị thêm	(to be) added
bị theo dõi	(to be) stalked
bị thối	(to be) blown
bị thông qua	(to be) passed
bị thu	(to be) collected
bị thu hút	(to be) attracted
bị thúc đẩy	(to be) spurred, pushed
bị thương	(to be) injured
bị tìm thấy	(to be) found
bị tính phí	(to be) charged
bị tốn thất	(to be) suffered
bị trả đũa	(to be) retaliated
bị trần truồng	(to be) naked
bị tránh	(to be) avoided
bị tránh xa	(to be) shunned
bị trao đối	(to be) exchanged
bị treo	(to be) hung
bị trì hoãn	(to be) delayed
bị trở thành	(to be) became
bị trở thành mềm	(to be) softened
bị trôi qua	(to be) lapsed
bị trốn	(to be) escaped
bị trốn việc	(to be) shirked
bị trong tình trạng âm ỉ	(to be) smothered
bị tru	(to be) howled
bị trữ	(to be) reserved
bị trừng phạt	(to be) punished
bị từ chối	(to be) refused
bị ướt	(to be) wet
bị vật lộn	(to be) wrestled
bị vò nát	(to be) crumpled
bị vượt qua	(to be) crossed, passed
bị xâm nhập	(to be) pervaded
bị xấu hố	(to be) ashamed
bị xảy ra	(to be) happened
bị xé	(to be) ripped
bị xé rách	(to be) torn
bị xem	(to be) watched
bị xén	(to be) clipped
bị xoắn	(to be) twisted
bị xoay	(to be) whirled
bị xông vô	(to be) stormed in
bị xử lý	(to be) dealt
bị xung đột	(to be) clashed
bị yêu cầu	(to be) demanded, required
bia	beer
bi-a	billiard
bìa	cover
bịa	fabricated
bia đen	porter
biếc	bluish green
biên	edge, to write
biến	change, transform
biển	marine, sea
biến chất 	transform, metamorphic
biên dịch viên	translator
biên độ	amplitude
biến đối	convert
biên giới	boundary, border
biến hình	transform
biên lai	receipt
biến mất	vanish
biện pháp	remedy, solution
biên soạn	compile
biển tên	name plate
biếng	lazy
biếng 	lazy
biết	know(ing), aware
biệt	special, unique; disappear
biệt danh	nickname
biệt thự	mansion
biết vâng lời	dutiful, obedient
biếu	to gift
biểu	expression
biểu 	tell (order)
biểu đồ	chart
biểu hiện	express, display signs/symtoms
biểu thị	denote
biểu tình	protest, strike
bỉm	diaper
binh	soldiers
bình	canister, pitcher, vase
bịnh	sick
binh chủng thiết giáp	armor
bình đẳng	equal
bình đun nước	kettle
bình luận	comment
bình minh	dawn, daybreak
bình thường	ordinary, normal
bình tĩnh	calm, composed
bịt	muzzle
bịt kín	fully cover
bịt mắt	blindfold
bó	bunch, bundle
bò	cow
bố	father
bồ	romantic friend, lover
bỏ	to quit leave, drop off
bơ	butter
bọ	bug
bờ	shore, bank
bộ	by foot, appearance
bố 	father, dad
bờ 	shore
bợ 	to lowly kiss up
bỏ bê	neglect
bờ biển	coast, shore
bò cái	cow
bọ cánh cứng	beetle
bố chồng	father in law
bồ công anh	dandelion
bộ da	skin
bỏ đạo	apostate
bỏ đi	abandon
bộ đồ ăn	dinnerware
bộ đồ ngủ	pajamas
bò đực	bull
bó hoa	bouquet
bộ khuếch đại	amplifier
bộ lạc	tribe
bỏ lỡ	miss
bộ lọc	filter
bỏ mạng	perish
bố ngữ	adjunct
bố nhiệm	designate, appoint
bộ phận	part
bỏ phiếu	vote
bỏ phiếu trắng	abstention
bỏ qua	forego, skip
bò rừng	bison
bơ sữa	dairy
bố sung	complement
bờ vai	shoulder
bố vợ	father in law
bờ vực	brink
bộ xương	skeleton
bộ yên cương	harness
bóc	peeled
bốc	to pick up in one's hands; prepare medicine compound 
bọc	wrap
bộc	reveal
bốc lên	exhale, fume
bói	fortune telling
bôi	smear
bồi	waiter; to strenthen
bơi	swim
bới	dig by raking
bời	by the ravages of
bội	multifold, greater
bởi	by, because
bối cảnh	background
bối rối	confused
bồi thẩm đoàn	jury
bồi thường	compensate
bởi vì	because
bom	bomb
bợm	punk, jerk
bờm 	mane
bơm phồng	inflate
bón	fertilize; constipation
bốn	four
bồn	tub
bọn	gang, band, group
bộn	crowded with, encumbered with; quite in number
bọn 	bunch, gang
bốn mươi	forty
bồn rửa	sink
bồn tắm	tub
bóng	shadows, reflection, impression , shade
bông	flower, flake
bống	goby fish
bồng	carry in one's arms
bỗng	suddenly
bỏng	burns
bong 	peel off
bóng bay	balloon
bong bóng	bubble, balloon
bồng bột	vulnerable
bóng chày	baseball, cricket
bóng chuyền	volleyball
bóng đá	football
bọng đái	bladder
bóng đèn	bulb
bóng gió	allusive
bóng rố	basketball
bông tai	earring
bóng tối	shadow, darkness
boong	deck
bóp	squeeze
bóp 	squeeze, tighten
bóp cố	throttle
bóp méo	distort
bốt	boots
bớt	reduce
bột	batter, flour, powder
bọt 	foam
bột nhào	dough
bù	compensate, repay for
bu 	gather
bù nhìn	scarecrow
búa	hammer, axe
bừa	to rake; being rash, easy-going
bữa	meal; a session of 
bữa 	session
bữa ăn	meal
bữa ăn nhẹ	snack
bữa ăn sáng	breakfast
bữa ăn tối	dinner, supper
bữa ăn trưa	lunch
bùa hộ mệnh	amulet
bức	picture (classifier); to force
bực	upset, annoyed
bực mình	annoyed
bức tường	wall
bụi	dust, dusty
bụi rậm	bush, undergrowth
bulô	birch
bu-lông	bolt
bumơrang	boomerang
bùn	mud
bung	expand as a spring
bủng	limp, flabby, sallow
bưng	mangrove swamp; to carry, to cup in one's hand
bụng	belly, abdomen
bừng	flare brightly, to turn suddenly red hot; to wake suddenly
bùng nố	boom
bùng phát	outbreak
buộc	fasten
bước	walk, step
buộc 	tie, obligate
bước chân	footstep
buộc tội	accuse
buối	session, (unique classifier for time related session) 
buối chiều	afternoon
buối hòa nhạc	concert
buối họp kín	secret meeting
buối sáng	morning
buối tối	evening
buồm	sail
bươm	shreds, tattered
bướm	butterfly
bướm đêm	moth
buôn	to sell, to trade
buồn	sad, upset
buồn bã	sullen
buồn chán	doldrum
buôn lậu	smuggle
buồn rầu	depressing
buông	let go, let down, to drop
búp	sprout
búp bê	doll
bút	writing device (pen, pencil..)
bút 	pen
bút chì	pencil
bưu điện	post office
bưu kiện	parcel of good
bưu kiện 	parcels
bưu phẩm gửi bằng đường hành không	airmail
bưu thiếp	postcard
ca	chant, sing
cá	fish
cà	tomato
cả	all, entire
cá chép	carp
cả cuộc đời	lifetime
cả hai	both
cá heo	dolphin
cá hồi	salmon
cá mập	shark
ca ngợi	acclaim, praise
cá ngừ	tuna
cả nhà	whole house/family
cá nhân	individual, personal
cá nóc	blowfish
cá ông	whale
cà rốt	carrot
cá sấu	crocodile, alligator
ca sỹ	singer
cá thu	mackerel
cá trê	catfish
ca tụng	praise repeatedly
cá tuyết	cod
cá vàng	goldfish
cá voi 	whale
các	plural (indicator), multiple, more than one
các anh em	the brothers
các bà mẹ	the mothers
các bon	carbon
các chân	the legs
các đầu gối	the knees
các loại	the kinds, types
các mảnh vá	the patches
các mỏ	the mines
các nước 	the juices
cách	way, method; distance from
cách chức	depose
cách diễn tả	diction
cách lập luận	argumentation
cách ly	isolate
cách này hay cách khác	somehow
cách ngôn	aphorism
cách nhiệt	insulation
cách phát âm rõ ràng	articulatory
cách thức	mode
cai	rule, jailkeeper, warden; to give up
cái	the (for things), unique classifier for objects
cãi	argue, dispute
cải	cabbage; to reform
cái ác	the evil
cái áo choàng	robe
cái bát	the bowl
cái bồn chứa	tank
cải cách	modernize, change, reform
cái cân	weighing scale
cái cặp	bag, briefcase
cái cầu	bridge
cái cây	tree
cái chắn bùn	the dashboard
cái chết	death
cái chốt	detent
cái chuồng	stable, kennel
cái cố họng	throat
cái cưa	the saw
cái cửa	door
cài đặt	install
cái đinh	the nail
cái đó	that
cái đồ đựng	the container
cái đói	the starvation, hunger
cái đục	the chisel
cái dùi	the awl
cái đùi	thigh
cái đuôi	tail
cái gạt tàn	the ashtray
cái gáy	the scruff
cái gậy	walking stick
cái gì	what
cái giá	the rack
cái hàm răng	jaw
cái hông	hip
cái kén	cocoon
cái kéo	the scissor
cái kẹp	the clamp, the clip
cái kìm	the nip
cãi lộn	altercate
cái lưỡi	tongue
cái mái che	the roof
cái móc	the hook
cái môi	lips
cái nạng	the crutch
cái nào	which
cái này	this
cãi nhau	bicker, quarrel
cải nhau	spat, argue
cái nhìn thoáng qua	glimpse
cái nôi	the cradle
cái phanh	the brake
cái phễu	the funnel
cái răng	tooth
cái ruy băng	ribbon
cái song chắn	bar
cải thiện	improve
cái thùng gố	crate
cái tố	nest
cái tôi	the ego
cải trang	disguise
cai trị	reign, govern
cái ví	purse, wallet
cái xẻng	scoop
cái xô	pail, bucket
cái xương	bone
cái xương sườn	rib
cái yếm	bib
cam	orange color; orange fruit
cám	bran
câm	dumb
cấm	ban, forbid, prohibit
cầm	hold 
cắm	plug
cằm	chin
cảm	feel, feeling a cold
cặm	to fix; to plant
cắm 	plug, to stake/pitch
cắm cột	pole
cam đoan	assure
cảm động	pathetic
cảm giác	sensation
cảm giác bất an	disquietude
cầm giữ	hold
cảm hứng	inspiration
cam kết	commit, pledge
cảm ơn	thank
cảm ơn bạn	thank you
cảm thấy	feel
cầm tù	hold in prison, imprison
cảm xúc	feeling, emotion
cán	handle, a staff(stick); to roll into thin layers
càn	raid, to mop up
cân	scale, weigh
cần	need
cắn	bite
cản	to prevent, to stop, to bar
cẩn	to inlay (decoration)
cạn	shallow
cặn bã	scum
căn bản	basal
cân bằng	balance
cán chổi	broomstick
căn cứ	base (on)
can đảm	bravery, courage
căn nhà nhỏ	cottages
cằn nhằn 	grumbling
cắn nhẹ	nip
cẩn thận	careful
cận thị	nearsighted
can thiệp	interfere, meddle
cần thiết	necessary
cắn xé	mangled
cáng	stretcher
càng	more
căng	strained
cảng	dock, port
cẳng	shank, leg
càng 	the more…(verb); claw
căng 	strained, stretch
cảng biển	seaport
càng nhiều	the more
căng ra	stretch
căng thẳng 	tense, stress, stretch straight
căng thẳng cao độ	high-strung, intense
căng tin	cafeteria
canh	broth
cánh	wing
cành	branch
cảnh	scene
cạnh	edge, next to
cảnh 	scene, sight
cạnh 	edge, next to
cảnh báo	warn, caution, alert
cành cây	branch of tree
cạnh giường	bedside
cánh hoa	petal
cảnh quan	sight, landscape
cánh quạt 	propeller
cánh quạt chân vịt 	propeller blades
cảnh sát	sheriff, policeman
canh tác	cultivate
cánh tay	arm
cạnh tranh	compete, competitive
cạnh, rìa, viền	edge
canxi	calcium
cao	high, tall
cào	scratched, rake
cạo	scrape
cao cấp	senior
cao cấp hơn	superior
cao điểm	peak
cáo lỗi	apologize
cạo râu	shave
cao su	rubber
cao thượng	noble
cấp	level
cắp	theft
cập	to land, to draw up alongside
cặp	pair
cấp 	level
cập 	pull next to
cấp cho	provide to
cập nhật	update, gather information
cặp tài liệu	briefcase
cấp tiến	radical
cấp tính	acute
cặp vợ chồng	couple
cặp vợ chồng kết hôn	married couple
Carbohydrat	carbohydrate
cát	sand
cất	distilled; put away
cắt	cut
cắt bao quy đầu	circumcise
cắt bỏ	ablate
cất cánh	take off
cắt cụt	amputate
cắt giảm	slash off, reduce
cáu	angry
câu	to fish; a sentence; a dove
cấu	to claw, nip
cầu	plead, globe; a bridge
cậu	uncle (mother's younger brother)
câu 	sentence
câu chuyện	tale
cau có	frown, scowl
câu đố	puzzle
câu hỏi	question
cáu kỉnh	irritable
câu lạc bộ	club
cau mày	frown
cầu nguyện	pray
càu nhàu 	grumble
cầu tàu	wharf
cầu thang	stair
câu trả lời	answer
cay	spicy
cáy	fiddler crab; timid (as a rabbit)
cày	plow
cây	tree, plant, (unique classifier of stick like object)
cấy	transplant; grow rice, to farm, to culture
cầy	dog-meat
cậy	dependable
cay 	hot, spicy
cây ăn quả	fruit tree
cây ăn sâu bọ	carnivore
cầy cấy	farming
cây cung	bow
