a	một
acquisition	(sự) giành được
acquisitive	có khả năng học hỏi, có khả năng tiếp thu
acquit	làm trọn
acquittal	(sự) tha tội, (sự) tha bổng
acre	mẫu (Anh)
acreage	diện tích
acrid	hăng, cay sè
acrobat	người (biểu diễn) nhào lộn
acrobatic	nhào lộn
acrobatics	đi trên dây
acronym	viết tắt
acropolis	thành phòng ngự
across	ngang qua
acrylic	a-cri-lích
act	hành động
acted	hành động
acting	đang hành động, đóng kịch
action	sự hành động
actions	hành động
activate	kích hoạt
activation	sự hoạt hóa
active	năng động
activism	chủ nghĩa tích cực
actor	nam diễn viên
actress	nữ diễn viên
acts	hành động, đóng kịch, hành vi
actual	thực tế
actuate	khởi động, phát động
acuity	tính sắc nhọn, tính sắc bén
acumen	(sự) nhạy bén, (sự) nhảy cảm
acute	cấp tính
acuteness	sự sắc xảo
ad	quảng cáo
adage	châm ngôn, ngạn ngữ
adagio	nhịp khoan thai
adamant	cứng rắn, sắt đá, cương quyết
adapt	thích ứng
adaptability	khả năng thích ứng
adaptation	(sự) thích nghi
adaptive	có khả năng thích nghi, thích ứng
add	thêm
added	đã thêm
addenda	phụ lục (số nhiều của addendum)
addendum	phục lục
addict	người nghiện
adding	thêm
addition	Ngoài ra
additional	cộng thêm, thêm vào
additive	vật để cộng vào, vật để thêm vào
addle	hỏng, thối, ung
address	địa chỉ
addressed	xưng hô; giải quyết
addressee	người nhận
adduce	viện (lý lẽ)
adenoma	u tuyến
adept	giỏi
adequacy	(sự) tương xứng, (sự) thích đáng
adequate	đủ, đầy đủ
adhere	tuân theo
adherent	có quan hệ chặt chẽ với
adhesion	dính chặt vào, bám chặt vào
adhesive	chất kết dính
adieu	chào tạm biệt
adjacent	ngay sát, gần kề
adjective	tính từ
adjoin	ở kề bên, tiếp giáp
adjourn	hoãn
adjudicate	xét xử, phân xử
adjunct	định ngữ, bổ ngữ
adjust	điều chỉnh
adjusting	đang điều chỉnh
adjustment	điều chỉnh
adjutant	sĩ quan quả lý tiểu đội
administer	quản lý
administered	đã quản lý
administering	đang quản lý
administration	sự quản lý
admiral	sỹ quan hải quân
admiration	sự ca tụng, sự hâm mộ
admire	ngưỡng mộ
admissible	có thể chấp nhận, có thể thừa nhận
admission	được nhận vào một tòa nhà, trường học
admit	thừa nhận
admittance	sự cho ai vào
admitting	tiếp nhận
admixture	hỗn hợp
admonition	lời nhắc nhở
ado	khó khăn, khó nhọc
adobe	gạch sống
adolescent	thuộc tuổi thanh niên
adopt	thông qua
adoption	sự chấp nhận, sự thông qua
adoptive	nuôi
adoration	yêu quí, trìu mến
adore	ngưỡng mộ
adorn	trang điểm, trang trí
adroit	khéo léo
adsorb	hút bám
adsorbate	chất bị hút bám
adsorption	(sự) hút bám
adsorptive	(sự) hút bám
adult	người lớn
adulterous	(thuộc) tội ngoại tình
adultery	tội ngoại tình, tội thông dâm
adulthood	tuổi trưởng thành
advance	tiến
advanced	đã tiên tiến, đưa trước
advances	(sự) tiến bộ, đưa trước
advantage	lợi thế
advantageous	có lợi
advent	(sự) đến
adventure	phiêu lưu
adventures	cuộc phiêu lưu
adventurous	mạo hiểm
adverb	trạng từ
adversary	kẻ thù
adverse	bất lợi
advertise	quảng cáo
advertised	quảng cáo
advertisement	quảng cáo
advertising	đang quảng cáo
advice	lời khuyên
advisable	thích hợp
advise	khuyên bảo
advisor	cố vấn
advisory	tư vấn
advocacy	vận động chính sách
advocate	người ủng hộ
aerial	trên trời, trên không
aerobic	thể dục nhịp điệu
aerodynamic	khí động lực
aerosol	chất phun
aerospace	ngành hàng không vũ trụ
aesthetic	thẩm mỹ
afar	xa
affable	niềm nở
affair	chuyện tình cảm
affect	ảnh hưởng đến
affected	đã bị ảnh hưởng
affection	tình cảm
affectionate	trìu mến
affidavit	bản khai có tuyên thệ
affiliate	quan hệ thân thuộc
affinity	sự lôi cuốn
affirm	xác nhận
affirmation	xác nhận
affirmative	quả quyết
affirmed	khẳng định
affix	dán
afflict	làm đau đớn
affluence	sung túc
afford	đủ khả năng
afforestation	trồng cây gây rừng
affront	lời xỉ nhục
afoot	đi bộ
aforethought	cố ý
afraid	sợ
Afro	xoăn rậm
aft	ở đuôi tàu
after	sau khi
after all	Cuối cùng
afterglow	ánh hồng ở chân trời
afterimage	dư ảnh
afterlife	kiếp sau
afternoon	buổi chiều
afterward	sau đó
again	một lần nữa
against	chống lại
age	tuổi
agenda	việc phải làm
agent	đại lý
ages	những lứa tuổi
aggravate	làm nặng thêm
aggressive	hung hăng
aggressor	kẻ xâm lược
aggrieve	làm cho buồn phiên
aghast	kinh hãi, kinh hoàng
agile	nhanh nhẹn
agility	nhanh nhẹn
agitate	lắc mạnh
agleam	lóe sáng
aglow	tỏa sáng, vui tươi
ago	trước
agonizing	đang làm đau đớn
agony	đau đớn
agree	đồng ý
agreeable	dễ chịu
agreed	chấp nhân được
agriculture	nông nghiệp
ahead	trước
aid	hỗ trợ
aide	trợ lý
ail	làm ốm đau
aim	mục đích
aimlessly	một cách vu vơ, không mục đích
aint	không phải là
ain't	không phải là
air	không khí
air force	lực lượng không quân
air pressure	áp suất không khí
airborne	ở trên không
aircraft	máy bay, tàu bay
airdrop	thả xuống
airfare	giá vé máy bay
airfield	sân bay
airflow	luồng khí, luồng gió
air-holes	lỗ thông hơi
airline	hãng hàng không
airmail	bưu phẩm gửi bằng đường hành không
airplane	máy bay
airport	sân bay
airspeed	tốc độ của máy bay
airtight	kín gió
airway	đường hô hấp
airy	thoáng khí
aisle	lối đi giữa các hàng ghế
aisles	lối đi
ajar	mở hé
akin	hơi giống, na ná
alabaster	thạch cao hoa tuyết
alarm	báo động
album	an-bom ảnh
alchemy	thuật giả kim
alcohol	cồn
alcoholic	chứa cồn
alcoholism	chứng nghiện rượu
alder	cây dương tía
ale	rượu bia
alert	cảnh báo
alertness	sự lanh lẹ
algae	tảo biển
alias	tên hiệu
alibi	chứng cứ ngoại phạm
alien	người nước ngoài
alike	giống nhau
alive	sống
all	tất cả
allay	làm bớt
allege	khẳng định
allegiant	lòng trung thành
allegoric	có tính chất ngụ ý
allergic	dị ứng
allergy	dị ứng
alleviate	làm giảm bớt
alley	hẻm
alliance	liên minh
alligator	cá sấu
allocate	phân bổ
allow	cho phép
allowance	trợ cấp
allowed	đã cho phép
allowing	đang cho phép
alloy	hợp kim
allude	ám chỉ
allure	sức quyến rũ
allusion	ám chỉ
allusive	bóng gió
ally	đồng minh
almanac	niên giám
almighty	có mọi quyền lực
almond	hạnh nhân
almost	hầu như
aloe	lô hội
aloft	cao
alone	cô đơn
along	cùng
alongside	dọc theo
aloof	xa lánh
aloud	to
alp	ngọn núi
alpenstock	gậy leo núi
already	đã
also	cũng
altar	bàn thờ
alter	thay đổi
altercate	cãi lộn
alternate	thay thế
alternative	thay thế
although	mặc dù
altitude	độ cao
alumni	cựu sinh viên nam
always	luôn luôn
amaze	làm kinh ngạc
amazingly	tuyệt vời, xuất sắc
ambassador	đại sứ
amber	hổ phách
ambiance	không khí
ambient	môi trường xung quanh
ambiguity	sự mập mờ
ambiguous	khó hiểu
ambition	sự tham vọng
ambitious	đầy tham vọng
ambivalent	có cảm xúc lẫn lộn
amble	đi dạo
ambulant	đi lại được
ambulate	đi dạo
ambulatory	đi lại
ambuscade	chổ mai phục
ambush	phục kích
amend	sửa đổi
amenities	các tiện nghi
America	Mỹ
american	thuộc về Mỹ
amicable	thân mật
amid	giữa lúc
amidst	giữa
amigo	người bạn
amity	tình hữu nghị
ammonia	amoniac
ammunition	đạn dược
amoeba	amip
among	trong số
amongst	trong số
amoral	phi luân lý
amorphous	vô định hình
amount	số lượng
amperage	cường độ dòng điện
ampere	ampe
amphibian	động vật lưỡng cư
ample	phong phú
amplifier	bộ khuếch đại
amplify	khuếch đại
amplitude	biên độ
amply	đầy đủ
amputate	cắt cụt
amulet	bùa hộ mệnh
amuse	làm vui
an	một
anal	cẩn thận, kĩ tính
analeptic	hồi sức
analgesic	giảm đau
analogue	sự tương tự
analogy	tương tự
analysis	phân tích
analyze	phân tích
anarchy	tình trạng hỗn loạn
anatomic	thuộc giải phẫu
anatomy	giải phẫu
ancestor	tổ tiên
ancestors	những tổ tiên
ancestral	thuộc về tổ tiên
ancestry	tổ tiên
anchor	mỏ neo
ancient	xưa
ancillary	bổ sung
and	và
anecdotal	có tính giai thoại
anecdote	giai thoại
anemia	thiếu máu
angel	thiên thần
anger	sự tức giận
angle	góc
angry	tức giận
anguish	nỗi đau đớn
animal	động vật
animals	động vật
animate	sinh động
animated	đã diễn nhộn nhịp
animation	hoạt hình
ankle	mắt cá chân
anniversary	lễ kỷ niệm
announce	công bố
announced	đã công bố
annoy	quấy rầy
annoyance	làm phiền
annoyed	đã khó chịu
annual	hàng năm
anode	cực dương
anomaly	sự không bình thường
another	khác
answer	trả lời
answered	đã trả lời
answering	trả lời
answers	những câu trả lời
ant	kiến
antacid	chất làm giảm độ axit trong dạ dày
antagonism	sự đối lập
antagonist	kẻ quậy phá
antagonists	những kẻ quậy phá
antarctic	thuộc Nam cực
antarctica	Nam cực
antelope	loài linh dương
anterior	trước
anthem	Bài hát ca ngợi
anther	bao phấn
anthology	tuyển tập văn thơ
anthropology	nhân chủng học
anti	chống lại
antiperspirant	chất chống toát mồ hôi
antique	đồ cổ
antiseptic	chất khử trùng
antler	sừng (hươu, nai)
antlers	gạc
anus	hậu môn
anxiety	mối lo âu
anxious	lo lắng
any	bất kỳ
anybody	bất cứ ai
anyhow	dẫu sao chăng nữa
anyone	bất cứ ai
anyplace	bất cứ nơi đâu
anything	bất cứ điều/cái gì
anyt'ing	bất cứ điều/cái gì
anyway	dẫu sao chăng nữa
apart	thành từng mảnh
apathetic	thờ ờ
apathy	sự thờ ơ
ape	khỉ không đuôi
apex	chỏm
aphasia	chứng mất ngông ngữ
aphasic	người mắc chứng mất ngôn ngữ
aphid	rệp cây
aphorism	cách ngôn
apocalypse	sự diệt vong
apologetic	thuộc sách Khải Huyền
apologize	xin lỗi
apostate	bỏ đạo, bội đạo
apostle	người lãnh đạo cuộc cải cách
appalled	kinh hoàng
apparel	y phục, quần áo
apparent	rõ ràng
apparently	rõ ràng
appeal	khẩn khoản yêu cầu
appealed	kêu gọi
appealingly	một cách hấp dẫn
appear	xuất hiện
appearance	sự xuất hiện, bề ngoài
appeared	xuất hiện
appeasable	có thể cho nguôi
appeasement	sự an ủi, nhân nhượng
appeasingly	một cách an ủi, nhân nhượng
appellant	bên kháng cáo
appellate	có quyền phúc thẩm
append	viết thêm vào
appendicitis	bệnh viêm ruột thừa
appendix	phụ lục
appetite	dục vọng, lòng ham muốn
appetites	ham muốn
applaud	hoan nghênh
applause	sự tán thưởng
apple	táo
appliance	thiết bị, dụng cụ
applicable	xứng, thích hợp
applicant	ứng viên
apply	áp dụng
appoint	bổ nhiệm
appointee	người được bổ nhiệm
appointment	bổ nhiệm
apposite	thích đáng
appraisal	thẩm định
appraise	định giá
appreciable	đáng kể
appreciate	đánh giá cao
appreciation	đánh giá cao
apprehend	bắt
apprehension	sự e sợ
apprehensions	sự - e sợ; nắm lấy, tóm lấy
apprehensively	sợ hãi
apprentice	người học việc
apprise	báo cho biết
approach	phương pháp tiếp cận
approached	đã tiếp cận
appropriate	thích hợp
approve	phê duyệt
approximate	gần đúng
approximately	khoảng
apricot	quả mơ
April	Tháng tư
apron	thềm sân khấu
aquarium	bể cá
aquatic	sống dưới nước
arc	hồ quang
archenemy	kẻ thù không đội trời chung
archery	sự bắn cung
architect	kiến trúc sư
architecture	công trình kiến trúc
archive	văn thư lưu trữ
arctic	phương bắc
arduous	gian truân
are	là
area	khu vực
arena	đấu trường, vũ trường
argue	tranh luận
argument	luận cứ
argumentation	cách lập luận
argumentative	có lý, lô gích
arid	khô khan
arise	xuất hiện
aristocracy	chế độ quý tốc
aristocrat	người quí tộc
arithmetic	số học
ark	thuyền
arm	cánh tay
armchair	ghế bành
armed	đã trang bị
armor	binh chủng thiết giáp
armpit	nách
arms	những cánh tay, vũ khí
army	quân đội
aroma	hương vị
aromatic	chất thơm
arose	phát sinh
around	xung quanh
arousal	tỉnh thức
arouse	khêu gợi
aroused	đã kích thích
arrange	sắp xếp
arranged	đã sắp xếp
arrangement	sự sắp xếp
array	mảng
arrear	tiền nợ khất lại
arrest	bắt giữ
arrested	bị bắt
arrival	sự đến
arrive	đến
arrived	đến
arrogant	kiêu căng
arrogate	nhận vơ
arrow	mũi tên
arrow-end	cuối mũi tên
arrows	mũi tên
arsenal	kho chứa vũ khí đạn dược
art	nghệ thuật
arterial	(thuộc) động mạch
artery	động mạch
arthritis	chứng viêm khớp
article	Bài viết
articles	bài viết
articulate	rõ ràng
articulatory	cách phát âm rõ ràng
artifact	đồ nhân tạo
artificial	nhân tạo
artist	nghệ sĩ
artistic	nghệ thuật
artistry	tài năng của nghệ sĩ
as	như
as it is	thành ra
ascend	trèo lên
ascendant	ưu thế
ascended	đã lên cấp
ascent	trèo lên
aseptic	tiệt trùng
ash	tro
ashamed	đã xấu hổ
ashore	trên bờ
ashtray	cái gạt tàn
Asia	Châu Á
aside	sang một bên
ask	xin
asked	đã hỏi
asleep	ngủ
aspect	khía cạnh
aspirate	âm bật hơi
aspire	khao khát
aspired	đã ước nguyện
assailant	người tấn công
assailants	những kẻ tấn công
assailed	đã tấn công
assassination	ám sát
assault	tấn công
assemble	tập hợp lại
assert	xác nhận
asset	tài sản
assign	phân công
assist	hỗ trợ
assistant	trợ lý
associate	sự phụ thuộc
association	hiệp hội
assort	làm cho phù hợp
assortment	loại
assume	đảm đương
assumption	giả định
assurance	bảo hiểm
assure	cam đoan
asthma	bệnh suyễn
astonish	làm ngạc nhiên
astonished	đã ngạc nhiên
astonishment	sự kinh ngạc
astringent	làm se
astronaut	phi hành gia
astronomy	thiên văn học
asunder	xa ra, rời ra
asylum	nơi an toàn
asymmetry	tính không đối xứng
at	vào khi, nơi
at most	tối đa
ate	đã ăn
atheist	người theo thuyết vô thần
athlete	vận động viên
athletic	thể thao
Atlantic	Đại Tây Dương
atlas	át lát
atmosphere	bầu không khí
atom	nguyên tử
atomic	(thuộc) nguyên tử
atone	chuộc (lỗi)
atop	đỉnh, chóp
atrophic	teo
atrophy	sự teo
attach	đính kèm
attached	đính kèm
attack	tấn công
attacked	đã tấn công
attacking	đang tấn công
attain	đạt được
attempt	nỗ lực, thử
attempted	đã cố gắng
attempting	đang cố gắng
attend	tham dự
attendant	người phục vụ
attended	tham dự
attention	chú ý
attest	làm chứng
attic	gác mái
attire	quần áo
attitude	thái độ
attorney	luật sư
attract	thu hút
attracted	đã thu hút
attribute	thuộc tính
attribution	thẩm quyền
auburn	màu nâu vàng (tóc)
auction	đấu giá
auctioneer	người điều khiển cuộc bán đấu giá
audacious	táo bạo
audacity	(sự) táo bạo
audible	nghe rõ
audience	khán giả
audio	sự ghi âm
audit	kiểm toán
audition	(sự) thử giọng
auditorium	thính phòng
auditory	thính giác
augment	làm tăng thêm
August	Tháng Tám
aunt	cô, dì, thím, mợ, bác gái
aurora	rạng đông, cực quang
author	tác giả
authority	thẩm quyền
autism	bệnh tự kỷ
autobiography	tự truyện
autocracy	chế độ chuyên quyền
autocrat	người chuyên quyền
autograph	chữ ký của một người
automatic	tự động
automatically	tự động
automobile	xe ô tô
autopsy	cuộc khám nghiệm tử thi
autumn	mùa thu
auxiliary	phụ
avail	có lợi cho
avalanche	tuyết lở
avenge	trả thù
avenue	con đường có trồng cây hai bên
average	trung bình
averaged	đã trung bình
averred	xác nhận; khẳng định, quả quyết
aversive	đáng ghét
avert	tránh
avoid	tránh
avoided	đã tránh
awake	thức
awakening	thức tỉnh
awakenings	thức giấc
award	giải thưởng
aware	biết
away	xa
awe	kinh sợ
awed	kinh ngạc
awesome	làm khiếp sợ
awful	khủng khiếp
awkward	vụng về
awl	cái dùi
awoke	thức dậy
a-wonderin'	thắc mắc
ax	rìu
axe	búa
axe-handle	cán rìu
axis	trục
axle	trục xe
babble	tiếng lảm nhảm
babel	mớ hỗn độn những tiếng nói khác nhau; toà nhà cao; kế hoạch ảo tưởng;
baby	em bé
bachelor	dành cho người độc thân
back	lưng
backbone	xương sống
backdrop	sự sắp đặt
backed	đã hỗ trợ, đã thụt lùi
background	bối cảnh
backlash	phản ứng mạnh
backpack	ba lô đeo vai
backs	lưng
backstage	ở hậu trường
backup	sự hỗ trợ
backward	lạc hậu
backyard	vườn sau
bacon	thịt ba rọi
bacteria	vi khuẩn
bad	xấu
badly	một cách xấu
baffle	làm bối rối
bag	túi, cặp
baggage	hành lý
bags	túi
bail	tại ngoại
bailiff	chấp hành viên ở tòa án
bait	mồi
bake	nướng bằng lò
bakery	lò nướng
balance	cân bằng
balcony	ban công
bald	hói
bale	bó
baleen	phiến sừng ở hàm (cá voi)
ball	banh
balloon	bóng bay
ballot	lá phiếu
ballroom	phòng khiêu vũ
balm	dầu thoa
bamboo	cây tre
ban	cấm
banal	sáo rỗng
banana	quả chuối
band	ban nhạc
bandage	băng
bandit	tên cướp
bandy	tán dóc
bane	bả
bang	hạ
bangle	vòng
banish	trục xuất
banister	lan can
banjo	đàn băng giô
bank	ngân hàng
banked	đặt lòng tin
bankrupt	người phá sản
bankruptcy	sự phá sản
banquet	tiệc
banshee	yêu tinh
banter	lời bình luận
baptism	lễ rửa tội
baptistery	nơi rửa tôi
bar	thỏi
barb	ngạnh
barbarian	người man rợ
barbaric	man rợ
barbarous	chưa khai hóa
barbell	tạ
barber	thợ cắt tóc
barbiturate	thuốc ngủ
bard	nhà thơ
bare	trần, trần truồng
barefaced	trơ tráo
barefoot	chân không
barely	hầu như không
barfly	người hay la cà quán rượu
bargain	mặc cả
barge	xô đẩy
baritone	giọng nam trung
barium	ba-ri
bark	vỏ cây
barked	đã sủa
barkeep	chiêu đãi viên quầy rượu
barking	hay sủa
barley	lúa mạch
barn	nhà để xe
barnacle	hàu
barnyard	thô thiển
barometer	phong vũ biểu
baron	ông trùm
baroness	nữ nam tước
baronial	nam tuwocs
barrack	doanh trại
barracks	những doanh trại
barrage	chuỗi
barred	bị cấm
barrel	thùng tròn
barren	vô ích
barricade	chướng ngại vật
barrier	rào cản
barrow	xe đẩy
bars	những cái song chắn
bartender	người phục vụ quầy rượu
barter	trao đổi hàng hóa
basal	căn bản
base	căn cứ
baseball	bóng chày
baseband	tần số phát sóng
baseline	đường ranh giới
baseman	(bóng chày) người chặn bóng đứng gần gôn
baseplate	đế giầy
bash	đập mạnh
bashaw	người kiêu căng
bashful	bẽn lẽn
basic	cơ bản
basil	cây húng quế
basin	lưu vực
basis	nền tảng
basket	giỏ
basketball	bóng rổ
bass	giọng nam trầm
bassinet	nôi mây giành cho em bé
bastard	lai tạp, nguồn gốc thấp hèn
batch	khối
batches	lô
bate	bớt, giảm bớt
bath	tắm
bathe	tắm
bathed	tắm
bathroom	phòng tắm
baton	gậy chỉ huy
batter	bột
battered	đánh đập; bầm dập
battering	đánh đập; bầm dập
battery	pin
battle	trận chiến
battlefield	chiến trường
battlefront	tiền tuyến
battles	những trận đánh
battle-scarred	đã đầy chiến sẹo
bawd	gái điếm
bawdy	chuộc (lỗi)
bawl	nói oang oang
bayonet	lưỡi lê
be	được
beach	bãi biển
beaches	bãi biển
beachhead	căn cứ do quân đổ bộ trên bãi biển
beacon	máy phát tín hiệu dẫ đường
bead	hạt
beady	tròn, nhỏ và sáng
beak	mỏ
beam	chùm
bean	đậu
bear	đẻ
beard	râu
beardless	không râu
bearing	đang mang
beast	con thú
beasts	những con thú
beat	đánh bại
beaten	bị đánh đập
beating	đánh
beautiful	đẹp
beauty	vẻ đẹp
beaver	hải ly
became	đã trở thành
because	vì
beckon	ra dấu/hiệu
become	trở thành
becomes	trở thành
becoming	đang trở thành
bed	đã giường
bedbug	rệp
bedfast	liệt giường
bedlam	nhà thương
bedpost	cột giường
bed-rock	nền đá
bedroom	phòng ngủ
beds	những giường
bedside	cạnh giường
bedspread	khăn trải giường
bedtime	giờ đi ngủ
bee	con ong
beef	thịt bò
beehive	tổ ong
been	được
beer	bia
beetle	bọ cánh cứng
before	trước khi
beforehand	trước
befoul	làm bẩn
befuddle	làm ngớ ngẩn
beg	van xin
began	đã bắt đầu
beggar	ăn mày
begged	xin
begin	bắt đầu
beginner	người mới bắt đầu
beginning	bắt đầu
beginnings	những khởi đầu
behalf	in your behalf
behave	cư xử
behavior	hành vi
behind	sau
behold	nhìn thấy
beige	màu be
being	đang là, sự hiện hữu
belch	tiếng ợ
belie	nói ngược lại, làm trái lai; chứng tỏ là sai
belief	niềm tin
believe	tin
believed	tin
believing	đang tin
bell	chuông
belligerent	tham chiến
bells	những chuông
belly	bụng
bellying	phồng ra
belong	thuộc
belonged	thuộc
belongings	đồ đạc thuộc
belongs	thuộc
belove	yêu quý
beloved	yêu quý
below	dưới đây
belt	dây lưng
bench	ghế dài
benchmark	điểm mốc
bend	uốn cong
bending	uốn
bends	uốn cong
beneath	bên dưới
benediction	kinh tạ ơn
benefactor	người làm việc thiện
beneficent	hay làm việc thiện
beneficial	có lợi
beneficiary	người hưởng lợi
benefit	lợi ích
bent	đã cong
berate	mắng mỏ
berry	một loại dâu
berth	giường tàu
beset	bao vây
beside	bên cạnh
besides	ngoài
bespeak	chứng tỏ, tỏ ra; cho biết
best	tốt nhất, nhất
bestow	ban cho
bet	đặt cược
betray	phản bội
betrayed	đã phản bội
betrothal	lời hứa hôn
better	hơn
between	giữa
beware	hãy cẩn thận
bewildered	hoang mang, ngơ ngác
bewitch	làm say đắm
beyond	ngoài
bias	độ nghiêng
bib	cái yếm
bible	Kinh Thánh
bibliography	thư mục
bicker	cãi nhau
bickered	đã cãi nhau
bickering	đang cãi nhau
bicycle	xe đạp
bid	thầu
bide	đợi
bifocal	hai tròng
big	to, lớn
bile	mật
bilinear	song tuyến tính
bilingual	song ngữ
bilk	quịt
bill	hóa đơn
billboard	bảng xếp hạng
billiard	bi-a
billion	tỷ
billow	cuồn cuộn
bin	thùng tròn
binary	nhị phân
bind	ràng buộc
bindery	hiệu đóng sách
bing	bãi thải
binge	ăn vô độ
binocular	ống nhòm
biography	tiểu sử
biology	sinh học
biopsy	sinh thiết
birch	cây bulô
bird	chim
birds	chim
birth	sinh
birthday	ngày sinh nhật
bisect	chia đôi
bishop	giám mục
bison	bò rừng bizon
bit	chút, đã cắn
bite	cắn
bites	cắn
biting	làm - buốt, nhức nhối; chua cay, đay nghiến
bitten	cắn
bitter	cay đắng
bitterness	sự cay đắng
bi-weekly	hai tuần 1 lần
black	màu đen
blackboard	bảng đen
blacken	làm đen
black-faced	mặt đen
blackmail	hăm dọa
blackout	cúp điện
blacksmith	người thợ rèn
bladder	bàng quang
blade	lưỡi (dao,kiếm)
blame	đổ lỗi
blanch	chần
bland	ôn tồn
blank	trống
blanked	trống không
blanket	chăn
blankets	chăn
blast	luồng khói
blatant	hiển nhiên
blaze	ngọn lửa
blazed	thắp sáng rực rỡ
blazing	đang xẹt cháy, lao vút
bleach	thuốc tẩy
bleak	ảm đạm
bleary	lờ mờ
bleed	chảy máu
bleeding	đang chảy máu
blemish	tật
blend	pha trộn
bless	ban phước
blew	đã thổi
blind	đui
blinded	mù
blindfold	bịt mắt
blinding	đang đui, loà mắt
blink	ánh sáng lung linh
blinking	đang nhấp nháy
blister	chỗ rộp da
blizzard	trận bão tuyết
blizzards	trận bão tuyết
bloat	trương lên
block	khối
blockade	chặn
blockage	trục trặc
blocked	bị chặn
blocking	ngăn chặn
blond	vàng hoe
blood	máu
bloodhound	chó săn
blood-longing	giòng máu khao khát
blood-shot	đầy tia máu
bloody	đẫm máu
bloom	nở hoa
bloop	âm thanh bí ẩn dưới đại dương
blossom	trổ hoa
blot	vết
blouse	áo choàng
blow	thổi
blowfish	cá nóc
