そ	1
シアトル　	Seattle
ほっと　　	breathe
こわごわ	timidly, gingerly
塀　	a wall, a fence
めぐらす	turn, surround
裏庭	a backyard, a garden at the back
かつぎこむ	to carry something
頚　　＝くび	a neck
肥えた	fat, stout, plump
帳簿	an account book, a ledger
サイン　	sign
にやり	smiling
斧　　	an ax(e), a hatchet
棍棒	club
挺	counter for guns, inksticks, palanquins, jinrikisha
頂上	the peak, the top, the summit
腰掛ける	sit (down)
裂ける	tear, split
突進	rush, charge
殺到	rush, flood
格闘	a fight, a scuffle
スウェーター　	sweater
冷静	calm, composure, coolness, serenity
しきり	partition, division, boundary, compartment, 
穴	a hole, a pit
跳ね上がる	jump up, leap up, spring up
引き締める　ひきしめる	tighten, brace, strain
鬱積	be pent up
激情	passion, a violent emotion
仰向け	lift one's face, look up, tilt one's head back
横倒し	falling over, toppling sideways
衝撃	a shock, an impact
砕ける	break, be broken, be smashed
突撃	a charge, a dash
打撃	a blow, damage
這う	crawl, creep 
よろける	to stagger, to stumble
毛皮	fur, skin, pelt
斑点	speck, fleck
近寄る	to approach, to draw near
ねらい	aim
ライオン　	lion
下顎	the lower jaw
つかみ	grip
ねじまげ	twist, distort,
つぶれて	crash, be crushed, be smashed
残酷な	cruelty, brutality
ぐにゃぐにゃ	flabby, limp, soft, flexible
犬馴	dog-breakin
カイユース  (インディアンの馬)	cayuses 
馭者	driver
荷馬車	wagon, dray, cart
申し候（そうろう)	Answers
書状	letter, note
御破算（ごわさん	starting afresh
ぶんなぐ	slug, wallop
逆立った	a handstand, a headstand
がぶがぶ	gulp (down) water
御馳走	an entertainment, dinner, a feast
立派な	excellent, splendid, magnificent, fine
教訓	a lesson, a moral
会得	understand, comprehend, grasp 
後生	younger persons, afterlife
啓示	apocalypse, revelation, 
法則	a law, rule
妥協	compromise
兇暴な	brutal, atrocious, ferocious
臆する	be hesitant, be timid, to fear
狡智	craft, cunning
檻	a cage, pen, jail cell
おとなしい	quiet, gentle, well-behaved, docile, quiet
融和	harmony, reconciliation
服従	 obedience, submission, resignation
昂奮	excitement, stimulation, agitation, arousal
とりひき	transactions, dealings, business, 
いぶかる	to suspect
危懼	fear, misgivings
かがやかして	brighten, to light up, 
こいつ	this fellow, this guy, this person
政府	the government, administration
逸物（いつぶつ	a superb article, a first-rate object
ニューファウンドランド	Newfoundland,
カーリー	Curly
見納め	last (farewell) look
ナーワル	Narwhal
シアトル	Seattle
ペロー	Perrault 
フランソア	Francois 
フランス系カナダ人	French-Canadian 
尊敬	respect, esteem
正義	justice
ナーワル	Narwhal,
スピッツベルゲン	
いかれる	to be beaten, to break down
狡	cunning, sly, crafty, wily
罰する	to punish, to penalize
鞭	whip, stick
混血児	half-breed, child of mixed blood or race
新参者	newcomer
陰鬱	gloom, melancholy
デイヴ	Dave
欠伸	yawn, give a yawn
クイーン・シャーロット	Queen Charlotte Sound
海峡	a strait,a channel, a sound
憑かれる	be possessed 
昂奮	excitement, stimulation, agitation, arousal
鼓動	beat, palpitation, pulsation, throbbing
雰囲気	an atmosphere, mood, ambience, 
泥	mud
好奇心	curiosity, inquisitiveness
棍棒	a club, a cudgel, 
牙	tusk, fang
浜	beach, seashore, 
びっくり	be surprised, be astonished
ぶらぶら	dangle heavily, swing, sway to and fro, aimlessly, idly, lazily, loiter, loaf, be idle, stroll idly, (P)
悠長	leisurely, slow, deliberate, easygoing
放棄	give up, abandonment, renunciation, abdication 
びっくり	be surprised (at, that),〔非常に驚く〕be astonished (at, that)，〔ぎくっとする〕be startled (by, at)⇒be surprised, be amazed, be frightened, astonishment
守る	to protect, to obey, to guard, to abide 
能力	ability, faculty, 
だらしない 	abjectly, slovenly, untidy
並ぶ 	abreast
豊富	abundance, rich,
誤り	an error, a mistake, 
抑揚	intonation, modulation, accents
咆哮	Howl
直角	angle, a corner,
受ける	receive, get, accept
事故	accident
順応	adaptability, flexibility, accommodate
推理	inference, reasoning, deduction
捕鯨船	whaling ship
連れて行く	accompani
地質調査	geological survey
不毛地方	Barrens 
フィート一フィート	foot 
危険	danger, (a) risk, hazard,
成就する	fulfill, accomplish, attain
勘定する	count, calculate, reckon
馬鹿者	a fool
観察し	observe, 
虐待	ill-treat, maltreat, abuse, torment,
蓄積する	｜accumulate, store (up), pile up
怒り	anger, (a) rage, (a) fury, wrath
衝突する	collide, to bode ill
経済的	economy, financial
先導	lead (the way), guide
首領	a chief, a leader, 
認める	acknowledge
友達	acquaintance
峡谷	a gorge, a ravine, a canyon, a glen
シープ・キャンプ	Sheep Camp
過ぎ	past, after
胸突坂（スケイルズ	Scales
氷河	a glacier
フィート	feet
横切る	cross
混乱	confusion, disorder, disorders
油断	be careless, be off (one's) guard
遅滞	delay,
いらいら	getting nervous, irritation
酷い	cruel, bitter, fiercely
識別	discrimination
視覚	sight
嗅覚	scent 
著しく	remarkable, marked, noticeable
鋭敏	sharp, keen
聴覚	hearing
甚だしい	a glaring, intense
敏感	sensitivity, sensitiveness, sensibility
かすか	faint
適応性	adaptability
条件	a condition, a prerequisite 
ハル	Hal
チャールズ	Charles
お互い	addresse
道徳性	morality
分裂	 division, the decay
無慈悲	merciless, pitiless, heartless, cruel, ruthless
生存	existence, life
闘争	a fight, strife, a struggle
無駄	useless, no use, vain
尊重	respect,
根本的	fundamental, basic
乗馬靴	riding boots
防衛	defend (against, from)
救う	save, rescue, relieve 
腑	clamor
あらゆる	all, every
無感覚	insensitivity, callousness, callous
胃液	gastric juice
栄養	nutriment,
組織	an organization, formation, building 
天候	forecast
かたわら	the side
堤	a bank, an embankment, a dike, a levee
掘る 	dig
ふき	blow
仮死	suspended animation, long dead 
裂く	tear, rend
格闘	a fight, a scuffle
先祖	ancestor 
遺伝性	inheritable character, inheritable, hereditary, inherited
びんた	slap
一撃	a blow, a stroke
ねらい	aim, deliberately
敵	an enemy, a foe, adversary
頚動脈	the carotid (artery), jugular 
獰猛	fierce, ferocious,fierceness 
刺さる	stick, get stuck
攻撃	attack, assault
橇	a sled, a sledge, a toboggan
凄い	dreadful, horrible, weird, ghastly
物凄い浪	famished
護る	return
円陣	circle 
突破	savage
跳ねる 	jump, bound, prance, fled
衝撃	a shock, an impact
湖上	on the lake
逃走	escape, run away, get away, flee 
求める	look for, seek
惨め	plightmiserable, wretched, pitiable
追求	pursue
びっこを引く 	to limp
野営	camping, a camp
大鹿	moose-hide moccasins
負傷	get [be] injured, be wounded, get hurt
畜生	sacredam, a beast, a brute
ペロー	Perrault
飛脚	an express messenger, the courier
半ぱな	dubiously
振り	a swing, a shake
愚痴	grumbling, grumbly, querulous, cursin
骨折り	pains, trouble
輓具	harnesses 
整える	fix, prepare, exertion
渦巻き	a spiral (shape)
負傷	wound-stiffened
澱 	sediment, dregs
踏み外す	lose one's footing, make a false step
竿	a bamboo pole, a pole, a carrying-pole
寒暖計	a thermometer
政府	the government
冒す 	brave, defy, risks
萎びる	wither, shrivel, weazened 
霜	frost
黎明 	dawn
橇	a sled, a sledge, a toboggan
凍り付く	be frozen
溺死する	drown, be drowned
溶かす	dissolve, melt, thawing
踏ん張る	stand firm, backward
滑り易い	greasy, slimy, slippery
崖	a cliff, a bluff, a precipice 
奇蹟	miracle
革紐	leather strap, thong, leash
ゆき	going, come
スモール・サマン	Little Salmon
ファイヴ・フィンガーズ	Five Fingers
穴居人	cave dweller, caveman
びっこを引く	to limp
擦り	rub
訴える	complain, against, resort to
逆立てる	Bristle
発狂する	go mad [crazy], become insane [mad]
逃げ出す	run [scuttle] away, take to flight
恐慌 	panic, a scare
喘ぐ	pant, gasp, breathe heavily
恐怖	(a) fear, (a) dread, terror, fright, horror 
ざらざら	rough, coarse
茂る	grow thick, a thick [dense] wood
くたくた	exhausted
よろよろ	staggered
抵抗する	resist
敵	an enemy, a foe
覇権	hegemony, supremacy
奇妙	strange, odd
真にもって	in all sincerity, truthfully, honestly
飢餓	starvation
獰猛	fierce, ferocious, savagery
狡智	craft, cunning
盲目的	blind (devotion)
忍耐	patience, perseverance
拍車	a spur
脱落	drop out (of), fall behind
懲らしめる 	punish, chastise, teach a lesson
巧妙 	skillful(ly), clever(ly), crafty
心配	apprehension, consideration
渓谷	a ravine, valley
妖気	a weird atmosphere
オーロラ	aurora
挑戦	a challenge (to), defiance
単調な	monotonous, dull
伴い	companion, accompaniment
怪しい	strange
悲痛	grief, woe
神秘的	mystic, mysterious
遡る	go against the stream, harked
バラックス	Barracks 
緊急	urgency, (an) emergency, urgent
誇り	pride
旅行者	journeyers
貯蔵	storage, 〔保存〕preservation, deposits
素晴らしい	 splendid, wonderful, marvelous, superb, 
反抗	revolt, resist, oppose, disobey 
不行跡	misdemeanor, misconduct, misbehavior,
スピッツ	Spitz
最早 	No more, no longer
指導者	leader
権威 	authority
保護	protection, give sanctuary
平らげる	suppress, subdue, conquer, gulp
ダブ	Dub
ジョー	Joe 
格闘	a fight, a scuffle
取り消す	cancel, withdraw, retract, revoke, forego
哀れむ	feel pity, feel sympathy, placatingly
傍	beside, nearby
決まって	always, usually, without
脅かす	 menacinglystartle, frighten
唸る	growl, groan, moan, snarling
苛めっ子	a bully
威張る	swagger
喧嘩	a quarrel, a row
啀み合い	squabbling, snarling at each other
後援する	support, give support, back up, sponsor
利口	intelligent, smart, a clever
狡	cunning, slyly
へま	stupidity, a blunder
たちまち	In a second 
ヤード	yards
追跡	a chase, (a) pursuit
駆け込む	run into, take refuge in, turned off into
疾走	forward, run at full speed, dash
淡い	a faint [pale] light
閃光	a flash (of light)
推進	promote, propel
流血	bloodshed, the blood lust
噛み殺す	bite to death, to kill
逆説的	paradoxical
旺然	prosperous, ecstasy 
芸術家	artist
兵士	a soldie
拒絶	refuse (to do), turn down, reject, deny
ひたすら	sheer
筋肉	muscle
関節	joint
腱	sinew
歓喜	joy
赤熱	aglow, red hot
溢れる	rampant, overflow, flood, be inundated
ぐるっと	turning in a circle, going around, surrounding
屈曲	a bend, a curve, flexion
陸	land, the shore
くび	a neck
遥かに	larger, in the distance, far, far and away
絶頂	the top, the summit
地獄	hell 
合唱	a chorus
唇	a lip
捩じ曲げる	writhed, twist, distort, pervert
沈黙	silence
棚引く	brood
見える	see, have an audience, visible
ゆれず	quivered
低迷	faintest
馴らす	tame, train, domesticate
獲物	a take, a bag, a catch
まちうける	expectant
有り触れる	to be common, the wonted way
格闘	a fight, a scuffle
盲滅法	reckless, blind, without knowing, at random
引き裂く	tear, rend
突貫	rush
努力	strive
柔らかい	soft
渦巻き	a whirling pattern
封じる	blockade,envelope
曲げる	bend over, bow, curving
くるり	drawing back
挺子	a ram
ぶっつけ	drive
喘ぐ	pant, gasp, breathe heavily
蹌踉めく	to stagger
頭脳	a head, brains
陳腐な	commonplace, hackneyed, trite,  trick,
瞬く間に	in the twinkling of an eye, in a flash
輝く 	shine, twinkle, glitter, sparkle, gleaming
容赦	exorable, pardon, forgive,
慈悲	mercy
脇腹	one's side, the flank
震える	tremble, shake, vibrate, quiver, shiver
威嚇	a threat, (a) menace
覇権	hegemony, supremacy, mastership
翌朝	next morning
引っ張る	stretch, point
闘争	a fight (for, against, between), strife, a struggle
とっとと	quickly, fast, hurriedly, trot
羨望	envy
先導犬	lead-dog 
判断	judgement
愉快	gleefully pleasure, (a) delight
こいつめ	Chook
頚筋	neck
引っ掴む	scruff, to snatch (at), to grab
懲らしめる	feex, punish
打たれる 	thrashing, be touched, be moved, be impressed, be struck
反抗	resist, oppose, disobey, revolt
呪い	a curse
一滴	a drop
血管	a blood vessel, veins
零し	spilling, grumbling
整える	prepare (for), get ready
馳せる	triumphantly
翻す	swing around
評価	evaluate, value, estimate
匹敵する	be equal (to), be a match
干渉する	interfere, meddle (with, in) 
秩序	order
放埓	unruly
一オンス	an ounce
矢継早	rapid succession, swiftly
曳々 	heaving, pulling
むっつり	sullen, taciturn
卓越する	excel (at, in), be distinguished, superior
圧倒する	overwhelm, overpower, surpass, smother
徹底的	thoroughness
めきめき	remarkably, rapidly, immediately
リンク・ラビッズ	Rink Rapids 
ティーク	Teek
ターナ	Koona
零下	below zero
ホワイトホース・ラビッズ	White Horse Rapids
マイル	mile
ル・バルジュ	Lake Le Barge 
マーシュ	Marsh
湖	Across
タギッシュ	Tagish
峠 	Pass
スキャグウェー	Skaguay
群れる	to crowd, to flock, to swarm
褒め称える	applaud, worshipful
公衆	public
偶像	an idol, an image
スコットランド人	A Scotch half-breed
ドースン	dozen
レコード	record
郵便橇	the mail train
焚き火	build a fire
黎明	dawn
予告	(a) notice, (a) warning, 
ぶらつく	flag, odd
ずうっと	husband
伸ばす	stretche
セメント	cement
タンク	tank
メキシコ	Mexican
陽の照る国	Sunland
ホームシック	homesick 
漠然	vaguely,dim 
本能	the instincts
先祖	an ancestor
膨れる	stringy
丸々	plump
膝	a kneecap, knee 
ぶら下げる	hang 
大腿	a thigh
臀部	the buttocks, the rump, hips
脚	legs 
特殊	special, peculiar
弾性	elasticity, springiness
反発力	resiliency
肉食獣	carnivore, carnivorous animal, prey
騒ぐ	make noise
ユーコン	Yukon
瞬き	瞬き瞬き
呻く	groan, moan, growl
押し付け	push, suppressedly
消え去る	vanish
コンディション	condition
食餌	a dietary cure
寝転ぶ	lie (down)
輓具	harness
出し抜けに	suddenly, without notice, unexpectedly
宣言	declaration, (a) proclamation, (an) announcement
混血児	a halt
占める	occupy, hold
瀕死	dying, death
外側	alongside, the outside, the exterior
踏み込む	step into, break [rush] into
刺す	pierce, stab, 〔針などで〕prick
鞭打ち	a whiplash (injury), stinging plash
著しい	remarkable
巡らす 	turn
さっと	quickly, suddenly
ざまを見ろ	serves you right, see what happens, witness
嘆願する	entreat, solicit, implore, beg, plead with
困惑	perplexity,(an) embarrassment
どうせ	"anyhow, after all, anyway
"
誇らしげ	proudly, triumphantly
這う	crawl, creep
蹌踉めく	to stagger
虫	worm
喘ぎ	gasping, puffing, wheezing, asthma
撃つ	shoot
ぴしっ	a whip
ソルト・ウォータ・メイル	Salt Water Mail,
スキャグウェー	Skaguay
消耗する	consume, exhaust,worn out 
惨めな	miserable, wretched, pitiable, wretch
陥る	fall into
偽りの	false, untrue, deceitful, deceit,
ダブ	Dub
困憊	dead-tiredness
緩慢	slow, sluggish
アルプス	Alpine
繊維	fibre
細胞	cell
精	taut
ひょっこり	
はげまし	encourage
おしまい	de las
女房	wives
肌色	colored
未熟	callowness
冒険	adventure
テント	tent
錫	tin
 慌てる 	hasten
マッシュ	Mush
やがて	a few moments,
怠ける	lazy
干渉	interfere
可哀	poor
あざ笑う 	sneer
奴等	
悲しい	sorrow
錨	anchor
喘ぐ	pant, gasp, breathe heavily
同情する	sympathetical
きつい	pull
はねつける	to resist
ちっと	just
打撃	a blow
ふんばる	stand firm, struggling
ぐるり	around, surround
 零す 	spilling
驀進	a dash, a rush
狂暴	rag
ホウ！	Whoa!
まき散らす	scatter
賑わい 	thoroughfare
罐詰	Canned goods
ロシグ・トレイル	Long Trail
筏	a raft
あらゆる	every
哀訴	appeal, complaint
リンク・ラピッズ	Rink Rapids 
ポインター	pointers
ニューファウンドランド	Newfound
ならぬ	must not (do), should not (do), cannot
異境	a strange land, a foreign country [land]
特権	"a special privilege, a prerogative
"
極めて 	quite
極地	Arctic
鉛筆	pencil
秩序	order
飢餓	famine, hunger
根本的な	fundamental, basic, the essence
煽てる 	cajole
魅力	charm, (an) appeal
餓死する	starve to death, die of hunger
縋る	cling, depend [rely] on
ロマンス	romance
はぎ取る	to tear off, to strip, to rob
窮状	distress, misery
口論する	wrangle
偏見	prejudices
侵害	impeachment, infringe, encroach
訴える	complain, importune
ファイブ・フィンガーズ	Five Fingers
インディアンの女	squaw
剥ぐ	strip
何れも 	all, each one 
閃く	spark
クーナ	Koona
呟く	murmur 
歓喜	joy, delight
灌木 	Shrub
栗鼠	Squirrel
車庫	Partridge
きつつき	woodpecker
 楔形	wedge
鼓動	throb
拭く	dry
削る	whittle
手短い	terse
馬鹿	fool
立ち上がる	get up
ティーク	Teek
衰える	go down
揺らめく 	flickere
ヒステリー	hysteria
探る	search
梶棒	shafts, pole
 はね上がる	jerk
ブラッドハウンド	bloodhound
探偵	detective work, covert investigation
嫉妬	jealousy
跳ね回る	jump [bounce] about, romp about
邸宅	Judge
保護者	guardianship
憧憬	adoration
福祉	welfare
愛称	name
釈放する	release
真似	feign
嬉しさ	be glad (of, about, to do, that), be happy, be delighted
押し付ける 	to shove
輪郭	outlines
惹く	to attract, to captivate, draw
凝視	the gaze, a stare
襲う	fear, attack
喚起する	rouse, arouse
献身	devotion
忠誠	Faithfulness
狡猾	wiliness
いためる	"score, damage
"
優越	supremacy
猛烈	a fierce 
闘争する	supremacy, superiority
悟る	awakened, perceive, realize (that), know
誤解	misunderstanding
響き	a sound, an echo, vibrations
筏	a raft
大まか	rough, approximate, general, large type
澱	sediment, dregs, saw-mill
気まぐれ	(a) caprice, (a) whim
親密	intimacy
ととのえる	"fix, prepare (for), get ready
"
タナナ	Tanana
取り付かれる	to become obsessed with, to be possessed
ハンズ	Hans
ピート	Pete
谷間	chasm
サークル・シティ	Circle City
めがけ	to aim at
ぶっ倒されて	to fall flat, to collapse in a heap
 彷徨く	prowl
獰猛	fierce, ferocious
坑夫	miner
フォーティ	 Forty
リヴァー	Creek
揺らめき	shaking, swaying, flirte
 被る 	submerge
引き止める 	pole
転覆する	overturn, be overturned, snub
きょうらん	mad swirl 
巨大	enormous
櫛	comb
掠める 	sneak, graze
殴り付ける 	scrape, to beat
引っ掛かる 	hang
遥か	far
ぴんと張る	to pull tight
溺死	drowning
 掴む 	catch, take [catch] hold of, seize, grasp, grip
予て	have been
衝撃	a shock, an impact
処女地	virgin soil
エルドラド・サルーン	Eldorado Saloon
舐める	lick
疑い	a doubt (about, that, wh-), a question
癒合（ゆごう)	agglutination, conglutination, healing
寵愛する	love, be partial, favor
賭ける	bet (on, against), stake
虚勢	bluff, a false show of power
マスドン	Mastodon
ジム・オブライエン	 Jim O'Brien
はち切れる	burst Thump
麦粉	wheat flour
燥ぐ	jubilant, to make merry, to frolic, to be in high spirits 
雄叫び 	clamor, a war cry, a roar, a screech, a scream
放す	Unhitch
感染する	infect, catch, contract, contagion
昂奮	excitement
褒める	praise, speak well [highly] of, commend, admiration
呟き 	a mutter, a murmur
素晴	splendid
コンディション	condition
オンス	ounce
贅肉	superfluous
剛毅	resolute, virility
雄勁	vigorous, powerful
スクーカム	Skookum
吃りながら	stuttering(ly), stammering(ly)
嵩 	bulk, quantity
緩める	loosen
跪く	kneel (down), fall [drop, go down]
頬	a cheek
群衆	a crowd (of people)
呪文	"a conjuration, an incantation, a spell
"
すべた	sword
緊張する	be nervous [tense], feel the strain
ぎくしゃく	jerks
泡	solvent pop
迸る 	gush out', bub
概して	generally, as a rule, on the whole 
旦那	one's master, one's husband
地獄	hell
稼ぐ	earn
負債	a debt, liabilities
噂	"fabled, gossip
"
聳立	conspicuously, mark
痕跡	a sign, a trace'a vestige,
淋しい	lonely, sad
憂鬱な	depressed, dejected, melancholy,
さざなみ	ripples
湾	a bay, a gulf
洗い鍋	washing-pan
金塊	a lump [nugget] of gold, unprocessed gold
迅速	quick, swift, rapid, speedy
幻影	a vision, an illusion
隠れる	be hidden
フィート	feet 
摑まる	be caught, to be arrested, to hold on to, to grasp, to find
密接	close(ly)
苔	moss, lichen
奇襲する	a surprise attack
抑えきれぬ	uncontainable, irrepressibile, uncontrollable
微睡む 	doze (off), fall into a doze, drop [nod] off
威嚇する	threaten, menace, intimidate
跳ね返す	bounce (back), rebound
執拗	obstinacy, persistence, tenacity
馬鹿	tom-fool
渇望 	longing 
勝利	a victory, a triumph
狡智	craft, cunning
シェパード	shepherd 
生粋 	carnivorous 
均衡	balance, equilibrium
瞑想する	meditate (on), practice meditation
誘惑 	"luringly, a temptation
"
