above    以上、上面、上述
abreast	并肩、时髦的、及时了解
besetting	困扰、倒退
beside	旁、和。。。相比、在。。。之旁
besides	除了、此外、另外
bespeak	预示着、表明
best	最好的、最好的东西
bet	"打赌、赌钱
 
"
betrayed	背叛、出卖
better	更好、优越
between	之间、中间、在。。。之间
bewildered	"惶惑、荧
 
"
beyond	外、在远处、在。。。以外
bickered	斗嘴、吵嘴
bickering	争吵、斗嘴、口水仗
bid	出价、 投标
bide	待机、 居住
big	大、壮大、伟大
bill	法案、帐单、票据
birch	"桦木、桦树
 
"
bird	鸟、雀
birds	鸟类、兽类
bit	"块、辅币、点滴
 
"
bite	"咬、叮、的咬伤
 
"
bites	"咬伤、咬钩
 
"
biting	"尖刻、 刺激的、刻薄的
 
"
bitten	被咬、咬伤
bitter	"苦、惨痛、的酸溜溜
 
"
bitterness	苦、苦味
black	黑色、墨
black-faced	黑面、黑脸
blanked	空白、消隐
blankets	毯子、毛毯、被子
blaze	火灾、失火、火焰
blazed	闪耀、熟
blazing	"炽烈、炽热、炽灼
 

 
"
bleak	"苍凉、严峻、萧条
 
"
bleeding	流血的、放血的、渗色
blew	自爆、炸毁
blind	盲人、瞎子
blinded	失明、蒙蔽
blinding	致盲、盲法
blinking	闪烁、眨眼
blizzards	暴风雪、特大雪灾
blocked	受阻、阻塞
blocking	"闭塞、的拥塞
 
"
blood	血、血液
bloodhound	猎犬、警犬
blood-longing	血向往、渴望
blood-shot	布满血丝、血丝
bloody	血腥、残忍、要命
blow	吹、 喘吁吁、打击
blowing	吹、吹制
blows	打击、的冲击
blue	蓝色、青色、郁闷
bluff	虚张声势、断崖、绝壁、直率的
blundered	失蹄
blunderer	blunderer
blundering	浮躁、弄巧反拙
boast	夸、吹牛、说大话、自诩
boastful	嘐、自夸
boat	船、航船
boats	船、航船
boded	预示、兆头
bodies	机构、团体
bodily	身体、人身
body	"身体、机身、机关
 
"
boldest	最大胆、最为大胆
boldly	大胆、勇敢
bologna	博洛尼亚、腊肠
bolted	狂奔、螺栓连接
bombarded	炮轰、轰炸
bonanza	富矿带、昌盛、成功
bone	骨、骨头
bones	骨头、骨
bony	"骨的、 干瘦
 
"
book	书、本子、册子、著作
boomed	蓬勃发展、兴旺、发飙
booming	繁荣、有成就的
bore	"烦扰、的凿孔
 
"
borealis	北极光、北欧化工
bored	"无聊、腻烦、烦人的
 
"
born	天生的、生来的
borne	承担、负担、承受
boss	老板、经理、头子
both	两、双、俩
bottom	底部、底子、最后的
bottom's	底部、底面
boughs	树枝、枝子上搭
bought	"买、牛圈、
 
"
bound	界、范围
bounded	界、有界
boundless	苍茫、漫漫、苍莽
boxes	箱、盒、框
boy	男孩、童
boys	男孩们、哥儿
braced	支撑、掺进
bragged	吹嘘、自夸、大言不惭
brain	脑、击碎 ... 的脑袋
branching	"分枝、 发枝的
 
"
brass	"黄铜、镀以黄铜
 
"
bravely	勇敢、奋勇
bravery	胆、华饰
bravest	勇敢
bread	面包、生计
break	打破、打断
breakable	易碎的、可破坏
breakfast	早餐、早饭
breaking	破坏、阻断
breaks	休息、断裂
break-up	分手、解体
breast	"乳房、以胸对着
 
"
breast-band	乳房波段
breast-bands	母乳带
breath	气息、鼻息
breathe	"呼吸、 换气
 
"
breathed	无声、浊
breathing	呼吸
breathless	气喘吁吁、气喘喘
breaths	呼吸、次呼吸
bred	育成、木板
breed	品种、树种、培育
breeze	微风、 煤屑
breezes	海风、微风
brewing	"酿造、混合
 
"
bribe	贿赂、贿络、饵
bridges	桥梁、桥接器
brief	简要、简短、短暂
bright	明亮的、光明、爽朗
bring	"带来、拿来
 
"
bringing	使、引进
bristled	毛、发怒
bristling	"林立的、竖立的
 
"
broad	广阔、宽阔
broad-breasted	广泛排扣
broader	更广泛
broke	"爆发、断掉、一文不明的
 
"
broken	破、残破
broken-heartedly	伤怀、伤心
brooded	反复思量、开始思考
brooding	忧郁、多思考的
brooms	扫帚、扫把
brother	哥哥、挚友、修士
brother-in-law	"姐夫、表兄弟、妹夫
 
"
brothers	"兄弟、手足、 哥儿们
 
"
brought	带来
brown	"棕色、褐色、成褐色
 
"
browse	浏览、 放牧、翻阅
bruise	挫伤、青肿、擦伤
bruised	伤痕累累、压伤
bruises	跌打损伤、瘀伤
brumal	brumal
brutal	残酷、野蛮、残暴
brutality	残酷、 肆虐、兽行
brutes	畜生！、畜生
bubbled	冒泡、鼓泡
bubbling	冒泡、鼓泡、起泡
bucked	逆市上扬、顶住
buckled	沉着应战、披挂上阵
buckles	扣、带扣
budge	让步、不为所动
buds	芽、花蕾
build	建立、建设、修建
building	建筑、大厦、营造物
built	建、建造
bulging	鼓鼓、膨出
bulk	体积、大批、膨胀
bulked	膨体、膨化
bull	公牛、牯牛、 粗壮如牛的
bulls	公牛、公牛队
bull's	公牛的
bully	"欺负、欺压、锦绣的
 
"
bunched	揉成、成束
bundle	束、包裹、捆
bundled	捆绑、绑定
bundles	束、捆绑
buried	隐藏、 湮
burned	烧毁、烧掉
burning	燃烧、烧灼
burst	爆裂、破裂
bursting	爆破、破灭
business	业务、商业、生意
businesslike	公事公办
busy	忙、忙碌、繁忙
but	但、不过
butt	屁股、臀部
butter	黄油、奶油
by	由
cabin	机舱、客舱
cadences	节奏、韵律
cagelike	笼状、笼形
cajole	"谄、 哄骗、 勾引
 
"
calamity	灾难、灾害、 大祸
calculated	计算
calculating	计算，运算
calf	小牛
call	被称为，叫
called	被称为，叫
calling	调用，感召
callous	冷酷， 趼
callousness	麻木不仁
calm	平静，冷静
calmly	平心静气， 舒服
calves	小牛，牛犊
came	来，来到
camp	营，阵营
camped	扎营，风餐露宿
camping	露营，野营
camps	阵营，营
can	可以，可
candle	蜡烛，烛
canned	罐头，听装
cannot	不能，不得
can't	不能，无法
canvas	帆布，画布
cap	帽，帽子
capable	能，能力
capacity	容量，量
capital	资本，倾覆
capsized	翻船、倾覆
captain	队长、 船长
car	"汽车、轿车、车厢
 
"
carcass	胴体、胎体
carcasses	尸体、屠体
care	关心、在乎、在乎
cared	关心、照顾
careful	小心、仔细、谨慎
carefully	小心、精心
caress	摩挲、爱抚
caressing	爱抚、轻抚着
carnivorous	肉食的、食肉
carried	进行、携带
carry	携带、搬运
carrying	携带、账面
carted	好不容易把、用车运送
cartridges	墨盒、硒鼓
case	案件、外壳
cash	现金、现款、兑现
cast	投、撒、的铸件
cat	猫、恶妇
catching	追赶、捕捉
cat-footed	猫足
catlike	猫爪、像猫
cattlemen	牧牛、牧畜
caught	抓、捉住
cause	导致、引起、的原因
caused	造成、引起
caution	警告、保守、警告
cautious	谨慎、审慎、拘谨
cautiously	谨慎、翼翼
cave-dweller	洞穴居民
cayuses	cayuses
ceased	停止、不再、终止
celerity	当机立断、波速
cell	细胞、元件、牢房
cement	水泥、接合剂、粘牢
centre	中心、中央、集中
centring	定心
centuries	几个世纪、世纪以来
certain	某些、一定、确定
certainly	当然、的确
certainty	肯定、把握、某几个
certitude	确定性、确实性
cessation	戒烟
chaff	糠、秕糠、戏弄
chaffering	chaffering
chafing	气恼、摩擦、皮肤发炎
chain	链、连锁、锁链、束缚
challenging	具有挑战性的、充满挑战性
champion	冠军、优胜者、冠军的
chance	机会、偶然、运气、发生
chanced	一次偶然的机会、巧遇
chances	机会
change	改变、变化、变动
changed	变、换车
changing	改变、变化的
channel	渠道、航道、引导
chant	呗、高唱、歌谣
chaotic	混乱、乱纷纷
chapter	章、章节、分会
characterized	特点、特征
charge	充、冲锋、记帐、收费
charged	带电、可充电
chase	追、迹、狩猎
chasm	裂口、断层、裂痕
chattered	喋喋不休、格格作响
chattering	热热闹闹、喋喋不休
cheaper	便宜
check	查、遏制、校验
checked	检查、选中
cheek	脸颊、胆大妄为、放肆
cheeks	两颊、脸颊
cheer	欢呼、喝采、打起精神
cheerful	快乐、愉快、爽快
cheering	欢呼
cheery	愉快的
chemically	化学
cherished	珍惜、珍爱的
chest	胸部、胸膛、寿材
chests	胸前、胸膛
chew	咀嚼、嚼、咀爵食物
chewed	咀嚼、嚼过
chief	首席、长官、领袖
child	孩子、儿童
children	孩子们
chill	寒意、寒气、凉飕飕
chinese	中国的、中国话的、汉语
chinked	CHINKED
chipmunks	花栗鼠、金花鼠
chivalrous	骑士的、义
chivalrously	骑士
choke	呛、窒息、阻塞
choked	哽咽、淤塞
choking	窒息的、哽
chook	Chook
chop	砍、官印、商标
chopping	搓球、遽变的
chops	印章、脸颊
chorus	合唱团、合唱
chosen	选择、精选
chronic	慢性病、长期的
chuckling	笑着、吃吃的笑
chunk	块、数据块
chunks	块、数据块
churned	搅动、翻腾
churning	搅动、翻腾
circle	圈、循环、盘旋
circled	盘旋、圆圈
circles	界
circling	盘旋、转圈
cities	城市
citizens	公民、市民
city	城市
civilization	文明、文化
civilized	文明的、有礼的
civilizing	文明、文明化
claims	索赔、索偿
clamor	叫嚣、喧、叫嚷
clannish	氏族、宗族
clara	圣克拉拉
clash	冲突、抵触、铮铮
clashed	发生冲突、爆发冲突、打击
clasped	紧握、合十
claws	爪、利爪
clean	清洁、干净、打扫
cleaned	清洗、清理
cleanly	干净、干净利索
cleansed	洁净、清洗
clear	清除、表明、明显
cleared	清除、清零
clearing	清除、空地
clearly	明确地、分明、逼真
clenching	紧握、咬牙
clerks	科员、文员
clever	聪明、高明、乖巧
cliff	悬崖、峭壁
climbed	攀升、爬上
climes	气候
clinching	铆、紧抓住
cling	依偎、贪恋、固执
clinging	抱住、扒着
clip	夹、修剪、缩减
clipped	裁剪、发音清楚的、省略一部分的
clipping	剪裁、剪毛、快速的
close	关闭、封闭、密切
closed	关闭、合拢的
closely	密切、留心地
closer	接近、更接近
closing	关闭、收盘
clothes-bags	衣服袋
clothes-sack	麻袋衣服
cloud	云、霄、使 ... 忧郁
club	俱乐部、棍棒、用棍棒打
clubbed	杵状、棒状
clubbing	泡吧、杵状
clubs	俱乐部、会所
clung	抱定、固守
clutched	攥、抓住
clutching	捂着、抓着
coals	煤、炭火
coat	外套、涂层、焊药
coated	涂、包覆
coats	大衣、外套
cock	公鸡、雄鸡、干草垛、举起
code	码、法规、略码
coils	线圈、盘管
cold	冷、凉、寒冷
colder	更冷、寒冷的
coldly	冷眼、不亲热地
cold-tubbing	冷澡
collar	领、颈间、攫取
collected	集、有自制力的
college	学院、院
comb	梳、蜂巢、篦
combatants	战斗、战斗员
combined	结合、合计的
come	来、发生
comes	来自、自带
comfortable	自在、安逸、爽快
comfortably	舒服、方便、合适
coming	未来、过来
command	命令、指令、控制
commanded	吩咐、指挥
commence	开始、着手、发源
commented	评论、评价
commingled	混合、合采
common	常见、普通、常规
communicated	沟通、传达、通信
communion	交往、交谊、往来
compact	紧凑、凝练、粉盒
compactly	紧凑地、简洁地
companies	公司、企业
companion	伴侣、同伴、伴随
company	公司、企业
comparatively	比较、相对
compared	相比、比较
compass	指南针、罗盘、包围、半圆形的
compel	强迫、迫使、逼迫
compelled	被迫、迫使
compellingly	令人信服、使人非相信不可
complained	抱怨、埋怨
complete	完成、完整、齐全
completely	全然、十分、统统
completeness	完整性、完备
complied	遵守、符合
comprehend	理解、领会、理会
comprehension	理解、合理
comprehensively	全面、综合
compressed	压缩、密集
computation	计算、预算
comrade	同志、同伴
comradely	同志
comrades	同志、俦
comradeship	谊、战友情谊
concealed	隐、暗
concealment	隐蔽、躲藏
concerned	关心、忧虑
concerning	关于、关於
conciliate	怀柔、靖
conciliated	调解、和解
conclusively	决定性、确凿
concrete	具体、实际
condition	条件、状态、境况
conditions	条件
conduct	进行、举办、行为
confessed	公然的、所公认的、公开的
confidence	信心、信任、信赖
confidently	自信、满怀信心
confined	坐困、隘
confines	局限、界限
confused	困惑、迷茫、乱糟糟
confusion	混乱、迷乱、爽然
congested	拥挤、拥堵
conjuration	咒语、召唤系法术
conscious	意识、察觉、自觉
consideration	考虑、计算、和蔼
considered	考虑、敬爱的、斟
considering	考虑、就 ... 而言、总之
consignment	寄售、寄出、托运物
conspicuous	显着、触目、显著
constant	不变、常量、不断
constantly	经常、时刻、一向
consternation	惊愕、发呆
consultation	会诊、参考、谘询
contact	联系、接触、交往
contagion	传染性、腐化
contained	包含、所含
contemplate	沉思、注视、思虑
contemplation	沉思、禅
contend	抗衡、角逐、周旋
contended	争辩、辩称
content	内容、含量、满足
contents	内容、篇目
continent	大陆、镇静的
continual	持续、不断
continually	不断、谆谆
continued	持续、经久
continuous	连续、连绵
contracted	签约、简约的
contraption	玩意儿、精巧
contribution	贡献、捐助、汗马功劳
control	控制、治理、管制
convalescence	恢复期
conversation	谈话、会谈
conveyance	运输、运输工具
convulsed	忍俊不禁、抽搐
convulsive	抽搐的、抽筋的
cook	煮、烹饪、厨师
cooking	烹饪、烹
cooks	厨师、烹调
cool	凉爽、冷静、镇、凉丝丝
coolly	冷静、冷淡
copies	副本、拷贝
copious	丰富、丰厚、广识的
corner	角落、垄断贩卖
cornered	走投无路、狗急跳墙
cottages	小屋、村舍
could	可以、可能
couldn't	不能
count	算、统计、详述
counted	计数、计入、算作
countered	反驳、反击、抵消
countless	无数、数不清、不可胜数
country	国家、江山、本土
couple	一对、俪、挂钩
courier	信使
course	课程、进程、航道
cousins	表兄弟、堂兄弟
cover	覆盖、掩护
covered	覆盖、湮
coverings	覆盖、铺面
covert	隐蔽、隐秘、隐藏处
coveted	令人垂涎、觊觎的
cows	奶牛、头奶牛
crack	裂纹、裂缝、崩裂
cracked	破获、发疯、精锐
crackled	噼啪作响
crackling	噼里啪啦
craftily	诡诈地、狡猾
crashed	坠毁、崩溃
crashing	崩溃、非凡的
crate	箱、板条箱
craters	陨石坑、环形山
crates	板条箱、条板箱
crawl	爬、自由泳、匍
crawled	爬、抓取
crawling	爬行、抓取
crazed	疯狂、发疯
creature	生物
creatures	生物
credit	信用、信誉、信任
creek	溪、汜、澥
creep	爬、蔓延
creeping	爬行、蔓延的
crept	蹑手蹑脚、爬行
crest	波峰、鸡冠、加以顶饰
crickets	蟋蟀、蛐蛐
cried	哭了、叫道
crippled	跛、废
crisp	脆、毳、弄卷
cross	交叉、横过、十字架
crossed	越过、横渡
crosses	跨越、越过
crossing	路口、渡口、横断
crouch	蹲伏、蹲、卧
crouched	蹲在、蹲伏
crouching	蹲伏、蜷缩
crowd	人群、一群、丛集
crowded	挤、稠、沓
crowed	乐得合不拢嘴、群众里去
cruelly	残酷、得够呛
crumb	屑、捏碎、残羹剩饭
crumpled	皱巴巴、弄皱、揉成一团
crunch	紧缩、危机、短缺
crunched	嘎吱嘎吱、嘎吱作响
crushing	破碎、粉碎
crushingly	毁灭性的、打破
cry	哭、喊叫、垂泪、呼声
crying	哭、喊叫、垂泪
cue	球杆、暗示、隐射
culprit	罪魁祸首、元凶、祸首
culprits	匪徒、贼人
cunning	狡猾、狡诈、诡诈
cunningly	狡猾、巧妙地
cure	治愈、治疗、纠正
curiously	好奇、奇怪
curled	卷曲、蜷缩
current	当前、现时、潮流
curse	诅咒、经期、咒骂
cursed	诅咒、大骂
curses	诅咒、咒骂
cursing	咒骂、诅咒
curved	弯曲、瞎、钩状的
curving	弯曲、弧形
custom	习俗、习惯、惯例
customary	习惯性、惯常的
cut	切、截
cuts	削减、割伤
cutting	切割、插条、尖利的
dainty	纤巧、楚楚、馔
dam	坝、母畜、堨
damnation	诅咒、詈、诅
dams	水坝、堤坝
dance	跳舞、舞会、舞蹈
dancing	舞蹈、婆娑
danger	危险、患、岌
dangerous	危险的、悬、陧
dared	敢、胆敢
dark	黑暗、深、晦
darkness	黑暗、隐晦
darted	飞奔、冲出
dash	短跑、冲撞、冲劲儿
dashed	虚线、非常
daughters	女儿们
daunted	吓倒、气馁
dawn	黎明、破晓
day	日、天
daybreak	黎明、拂晓、昕
days	天、日
days'	天
day's	天的
dazed	迷茫、迷糊
de	去、德
dead	死、过世、僵死
dead-tiredness	死疲劳
deaf	聋、聩、耳聋
deal	处理、合同、经销
dealers	经销商、交易商
dealt	处理、买卖
dears	亲爱的、对逗人
death	死亡、死命
deathless	不死、不朽
death-struggle	死亡斗争
debts	债务、拨备
decay	衰变、腐烂、衰败
deceit	谎言、骗局、玄虚
december	十二月
decided	决定、确定
decidedly	断然地、果断地
decivilization	decivilization
deck	甲板、舱面
deeds	事迹、契据
deep	深、深厚
deeper	更深
deeps	深渊、涧深渊
deer	鹿
deerhound	猎鹿、猎鹿犬
defence	防御、防务
defend	辩护、捍卫
defended	辩护、保卫
defending	卫冕、防御
defiance	蔑视、反抗
defiantly	对抗地、挑衅
defied	无视、违抗、藐视
definite	确定
deft	麻利、灵巧
defying	玩命、不畏
dejected	垂头丧气、黯然
delay	延迟、拖延、耽搁
delayed	延迟、拖延、耽搁
deliberately	故意、有意、偏偏
deliberateness	蓄意
delight	喜、情趣、趣味
delights	喜悦、佳肴
deliver	交付、传递、发表
deluged	淹没、泛滥
demand	需求、需要
demanded	要求、需要
demanding	严格、严
demesne	私有、自营
demon	恶魔、魔鬼、鬼蜮
demonstrative	示范、说明的
den	巢穴、窝
denied	否认、拒绝
depart	离开、背离、放弃
departed	过去的、过世的、死者
departs	离开、离去、起程
departure	出发、离开
depending	根据、视乎
deposited	沉积、存放
deposits	存款、按金
depot	仓库、车站
depths	深处、深度
descend	降落、下去
descended	后裔、下降
descent	降落、侵袭
described	描述、所述的
description	描述、描写
deserted	废弃的、寞、廖
deserved	应得、实至名归
desire	欲望、愿望、想望
desired	所需、期望
desires	欲望、私欲
desolated	荒凉、荒芜
despatches	急件、寄发
desperate	危急、殊死
desperately	拼命地、没命
desperation	绝望、拼命、精神错乱
despise	鄙视、轻视、嗤之以鼻
despite	尽管、虽然、任凭
destined	注定的
destroy	破坏、摧毁、毁灭、残
destroyed	销毁、破坏、摧毁、毁灭
destroying	摧毁、破坏、击破
destruction	毁坏、拆毁、拆卸
detail	细节、详情、枝节
details	详细信息
detection	发现、检测
determined	决心、坚决
determining	确定、决定
detestable	可恨、可恶
developed	发达、开发
development	发育、开展、养殖
devil	魔鬼、死鬼
devils	鬼子、魔鬼
devotion	忠诚、忠心
devoured	吞噬、烧灭
diabolically	恶魔般地、像魔法般
dictate	主宰、听写、指挥
dictating	口述、听写
did	做、确实
die	死、去世、逝世
died	死亡、去世
diet	饮食、营养、忌口
different	不同、迳庭、和 ... 不同
difficult	困难、艰难、严峻
dig	挖、掏、发掘
digestions	消化、酶切
digging	挖、挖坑
dignified	端庄、凝重、俨然
dignity	尊严、体面、威严
dim	暗淡、黯淡、幽暗
diminished	减少、减退
dimly	依稀、朦胧、恍惚
dimmed	变暗、黯淡
din	吵闹、豗
dinner	晚餐、请客
directing	指导、指挥
direction	方向、指导、针对性
directions	方向、说明
directly	直接、直截了当地
directness	直接、笔直
dirt	污垢、灰尘、泥土
dirty	脏、秽、变脏
disappear	消失、遁、澌灭
disappeared	消失、失踪
disappearing	消失
disaster	灾难、灾害、 大祸
disburdened	disburdened
discarded	丢弃、废弃、舍弃
discharged	出院、放行
discharging	放电、排放
discipline	纪律、规律、惩戒
disciplining	管教、纪律
disclosed	披露
discolored	脱色的
discomfited	扰乱、狼狈
discomfiture	尴尬、狼狈相
disconsolate	悲、悲伤
discover	发现、暴露
discovered	发现
discovery	发现
disgust	厌恶、嫌恶、厌恨
dishes	碗碟
dismay	沮丧、吓住
disorder	紊乱、毛病、搅乱
displaced	流离失所、位移
displeasure	不满意、不愉快
dispute	争议、纠纷
disrupted	打乱、破坏
distance	距离、路程
distant	遥远、远端
distinct	不同、分明
distributed	分布、分发
divers	潜水员、潜水者
divide	划分、分裂
divides	划分、瓜分
divined	占卦、猜到
do	做、进行、欺诈
docilely	温顺、驯服
